GRAPH_NAME,GRAPH_URL,THREADS,MAX_ITERS,TOLERANCE,DISABLE_HYPERTHREADING,THREAD_BIND_POLICY,LOGS_GAPBS,VTUNE_ENABLE,ELAPSED_TIME,SPEEDUP,PARALLEL_EFFICIENCY,ELAPSED_TIME_MEAN,SEQUENTIAL_TIME
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,44,500,1e-06,True,close,True,False,0.38929800000000003,2.8387173835981683,0.06451630417268564,0.38929800000000003,1.1051069999999998
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,44,500,1e-06,False,close,True,False,0.331778,3.3309140449336603,0.07570259193031045,0.331778,1.105124
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,66,500,1e-06,True,close,True,False,0.398022,2.7764972790448765,0.04206814059158904,0.398022,1.1051069999999998
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,66,500,1e-06,False,close,True,False,0.403531,2.738634702166624,0.04149446518434279,0.403531,1.105124
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,88,500,1e-06,True,close,True,False,0.391204,2.8248867598490808,0.032100985907375916,0.391204,1.1051069999999998
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,88,500,1e-06,False,close,True,False,0.38806599999999997,2.8477733169100103,0.03236106041943193,0.38806599999999997,1.105124
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,1,500,1e-06,True,close,True,False,0.051743000000000004,1.0,1.0,0.051743000000000004,0.051743000000000004
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,1,500,1e-06,False,close,True,False,0.050483,1.0,1.0,0.050483,0.050483
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,4,500,1e-06,True,close,True,False,0.02912,1.7768887362637364,0.4442221840659341,0.02912,0.051743000000000004
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,4,500,1e-06,False,close,True,False,0.037378,1.350607309112312,0.337651827278078,0.037378,0.050483
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,12,500,1e-06,True,close,True,False,0.015492,3.3399819261554353,0.2783318271796196,0.015492,0.051743000000000004
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,12,500,1e-06,False,close,True,False,0.016283,3.100350058343057,0.25836250486192147,0.016283,0.050483
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,22,500,1e-06,True,close,True,False,0.013222000000000001,3.913401905914385,0.17788190481429023,0.013222000000000001,0.051743000000000004
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,22,500,1e-06,False,close,True,False,0.014360000000000001,3.5155292479108633,0.15979678399594832,0.014360000000000001,0.050483
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,28,500,1e-06,True,close,True,False,0.010828,4.7786294791281865,0.17066533854029237,0.010828,0.051743000000000004
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,28,500,1e-06,False,close,True,False,0.013281000000000001,3.801144492131616,0.13575516043327202,0.013281000000000001,0.050483
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,36,500,1e-06,True,close,True,False,0.008869,5.834141391363175,0.16205948309342152,0.008869,0.051743000000000004
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,36,500,1e-06,False,close,True,False,0.012633,3.996121269690493,0.1110033686025137,0.012633,0.050483
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,44,500,1e-06,True,close,True,False,0.007917,6.535682708096501,0.14853824336582958,0.007917,0.051743000000000004
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,44,500,1e-06,False,close,True,False,0.012191,4.14100565991305,0.09411376499802387,0.012191,0.050483
